0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2020-12-03,WTI,GOGO,HOME,FSLY,AG,ACOR,ARTL,VERI,SWBI,SDC,FTFT,CRK,AEL,KBSF,LMFA,CSCW,PEIX,BORR,SPWR,OMER,EVFM,UUUU,KIRK,SUNW,AVGR,FUBO,THCB,ROOT,SBE,APXT,XSPA,QS,ENLV,TANH,PRTY,OZON,EVRI,CRON,BXRX,BTG,GLNG,IGC,GLG,GME,FOUR,BIOL,ATUS,PRTS,IQ,CTRM,ISR,MFGP,EARS,NXTD,OVID,NVIV,NAOV,LMND,AEHR,KNDI,GSM,SOLO,BLNK,ACST,SLRX,SNOW,CLVS,CLRB,GHSI,SAVE,AHT,ARLO,CATB,OGEN,ADXS,AMTX,ZS,TRCH,CIDM,TLRY,OGI,EXPR,JMIA,TGA,JAGX,MARA,NSCO,ABEV,RIOT,WDR,XPEV,LI,MIK,SXTC,CNK,NNDM,HEXO,ITRM,EVK,LIZI
2020-12-04,AIKI,LX,KBNT,UUUU,LTRPA,STRO,GOGO,MARK,FUBO,BEST,CRBP,CLVS,SLRX,CBAT,RMG,SBE,PRTY,GSM,RAD,SWBI,TRCH,PBF,YALA,ATUS,LMND,BORR,BIG,KXIN,DTIL,PDSB,TRXC,IPV,WDR,XSPA,QS,HCAC,BLNK,WTI,CSCW,CEMI,SXTC,CLR,PEIX,PIC,DFFN,IPOC,CGRO,BTG,KNDI,ALSK,RETO,CGC,CEI,BIOL,IGC,ITRM,AHT,OLLI,OBLN,GME,CRON,SOLO,DUO,GHSI,ADXS,OGEN,PHUN,SAVE,MIK,VLDR,PD,ACST,AQB,CPE,JMIA,LIZI,SNOW,OGI,JAGX,CIIC,CNK,MARA,HX,AVGR,XPEV,ABEV,ICON,TOPS,RIOT,NNDM,STPK,FSLY,TLRY,LI,CTRM,SHIP,HEXO,CIDM,PPSI,HGSH
2020-12-07,OEG,PD,TRIP,NXE,RMG,ATUS,THCB,CRON,CGRO,SDC,AG,WTRH,WWR,AVGR,BIOL,SPNX,UAMY,APXT,TANH,EXPR,AYRO,PHUN,PEIX,DARE,ASAN,TRIL,BRQS,CPE,GVP,DPW,ITRM,ENG,QS,MITO,SFIX,FATE,IPV,PIC,IPOB,FUBO,JKS,AEZS,AFMD,STPK,MIK,GME,BTG,LMND,SBE,SNOW,ANH,FSLY,SUMO,IQ,GMDA,TOPS,LIZI,SAVE,CBAT,MBIO,SUNW,IZEA,ADXS,UUUU,PLG,TRXC,CNK,BORR,TBLT,RIDE,BLNK,OGI,CRIS,ACST,JMIA,CIIC,TRCH,TLRY,IPOC,AQB,VLDR,HCAC,SHIP,APTO,MARA,CIDM,SOLO,ABEV,CTRM,RIOT,KNDI,HEXO,LI,XPEV,JAGX,NNDM,GTEC,ONCT,KODK,OBLN
2020-12-08,COUP,IZEA,AYTU,ACST,SPWR,GRWG,BTG,ADMP,ADXS,ATUS,SXTC,RCON,APXT,TOPS,YSG,ARPO,AQB,EH,WTRH,WWR,FUTU,PBF,PIC,SDC,SBE,SUMO,MBIO,IQ,LPCN,EARS,HCAC,FATE,PEIX,ARLO,AIKI,OGI,PEN,BDR,FUV,RAD,SHIP,NVCN,CPE,UUUU,SAVE,IPV,SONM,CLPS,OBLN,UAMY,DGLY,BORR,MIK,BTU,TUSK,NBY,RIDE,CTRM,PHUN,CIIC,TRIL,ONCT,TLGT,BXRX,ADMA,CGIX,CHWY,SNOW,TRCH,JMIA,TLRY,PLG,AHT,MARA,GOGO,HEPA,JAGX,CNK,HEXO,GME,SOLO,BLNK,RGLS,RIOT,CBAT,IPOC,KNDI,ABEV,SFIX,TRXC,FSLY,XPEV,NNDM,QS,KODK,VLDR,LI,CIDM,NURO,CRIS
2020-12-09,DGLY,VERU,ATRA,PRTY,CHEK,APXT,DYAI,ASRT,NVAX,SPWR,HUYA,IPOB,PSTI,KXIN,PEIX,BORR,BXRX,RAVE,YALA,RIDE,TRIL,AQB,ARTL,EDIT,ADXS,SHIP,TOPS,PBF,PLG,BTG,MIK,MARK,YSG,PIXY,CIIC,UNFI,TALO,WTI,CBAT,HCAC,FUBO,RCKT,GRWG,OGI,INFI,SNOW,IMMP,RMG,RAD,PIC,ACST,BLNK,FSLY,BNTC,CTRM,SAVE,SBE,CNK,ADMA,CHWY,CPE,ONCT,SOLO,FRAN,CLSN,AIKI,HEXO,IPOC,AHT,SFIX,KNDI,MARA,TLGT,TLRY,SLS,WTRH,RIOT,JMIA,LPCN,JAGX,KODK,GLSI,VLDR,ABEV,LI,GENE,GME,TRXC,THCB,NNDM,ATOS,NTEC,RCON,GOVX,CNET,QS,XPEV,CRIS,CIDM,XBIO
2020-12-10,GOGO,FUBO,TBLT,PHIO,RCKT,STPK,SNOW,DKS,BTG,ONCY,ADMA,SBE,TRIL,SDC,OGI,ADXS,CLRO,IQ,CLRB,CRK,GHSI,INSG,ADMP,VTVT,MIK,PLG,SHIP,ATUS,BLNK,ATOS,SAVE,KNDI,HCAC,WTRH,GENE,ZKIN,CTRM,RIDE,MOXC,CLSK,SFIX,VLDR,NXTD,GME,CPE,RAIL,LMND,THCB,TRXC,TRCH,PBF,SOLO,QIWI,ACST,TLRY,RWLK,JAGX,BIOC,GLSI,ASAN,HEPA,CNET,EDIT,KODK,HEXO,FSLY,CNK,XBIO,IPOC,GOVX,BTU,AHT,RIOT,AYTU,ENTX,MARA,BOXL,CLSN,BORR,LI,AQB,ANIX,JMIA,NNDM,RGLS,CRIS,CIDM,HTBX,QS,LPCN,WTI,ONCT,XPEV,UTSI,SSPK,ABEV,VERU,SLS,NEOS,IMMP
2020-12-11,CPE,LAC,DXLG,OGI,SHIP,ETTX,PLYA,HUYA,SLRX,AYTU,ADAP,NBRV,CHEK,SFIX,AMPY,LPCN,UUUU,CRBP,ADMP,CTRM,THCB,SCKT,JKS,SSPK,EDIT,LMND,HCAC,CRIS,GDRX,ATOS,FUBO,PLIN,NVAX,XERS,RGLS,MIK,SNOW,ADXS,AESE,BOXL,IPOC,KODK,KNDI,REPH,HA,CATB,PBF,AVGR,RMG,PAVM,TLRY,TRXC,GME,SBE,ACST,WTI,UAMY,BTU,FSLY,ONCT,SOLO,CGRO,AQB,VLDR,ZAGG,CHWY,CLSK,ITRM,BORR,HEXO,MARA,RIOT,ARPO,NEOS,PLG,AHT,IQ,CIDM,LI,SAVE,INSG,TRCH,QS,JMIA,HJLI,NNDM,IMMP,RIDE,XPEV,CNK,JAGX,PEI,LIFE,SLS,VERU,ABEV,SLDB,SNOA,NH,VTVT
2020-12-14,SHIP,CALX,INPX,VUZI,MBIO,ADMA,BLNK,UAVS,EVLO,SWI,ADXS,EDIT,LPCN,CARG,CBAT,FUBO,FSLY,CHWY,AVGR,BDR,FRBK,IQ,BTG,CREX,INUV,NVAX,NEOS,RESI,NXTD,THCB,BORR,APPS,VTVT,SBE,NH,CPE,ITRM,SLDB,HEPA,CLVS,PLG,IPOB,OGI,FOSL,NBY,TMBR,WTI,VLDR,SNOW,SAVE,ACST,SFIX,RIDE,SOLO,CRIS,BTU,IMMP,IPOC,PBF,AHT,WTRH,DXLG,JMIA,UUUU,ATOS,SEEL,ATUS,JAGX,GME,KNDI,SCKT,CNK,FIXX,TLRY,MIK,SLS,SOL,BLRX,LI,QS,CIDM,RIOT,ARVN,ARPO,ABEV,INSG,ABUS,REPH,TRCH,SYBX,MARA,NNDM,HEXO,IZEA,ANPC,XPEV,RUBY,BCDA,TLGT,VERU
2020-12-15,HUYA,PHUN,KODK,ASRT,OGEN,FSLR,GLSI,TRXC,LAC,BORR,IPV,SFIX,LPCN,IQ,RMG,ATOS,GRWG,QUAD,BTG,WTI,SUNW,ARPO,PIC,HCAC,PEIX,MGI,CLSN,SWBI,AG,CTRM,UUUU,ACST,SBE,MBIO,PBF,DQ,JKS,POLA,MCEP,SAVE,BLRX,KNDI,BLNK,REI,GOVX,RVP,CHWY,SHIP,INSG,IPOC,VTVT,HSTO,CNK,ATUS,AHT,SOL,MCF,GME,ELYS,OGI,MIK,BEST,CIDM,ARVN,CCM,JMIA,VUZI,SIOX,PRVL,THBR,AVXL,RIDE,NXTD,EXPC,SOLO,TRCH,TLGT,SPWR,IMMP,ABEV,QLGN,SLS,QS,NNDM,VLDR,LI,SLDB,SNOW,TMBR,ABUS,HEXO,RIOT,TLRY,XPEV,MARA,VERU,JAGX,OCX,ANCN,BCDA
2020-12-16,TRIT,RRD,WPRT,FSLY,WDR,TBIO,HCAC,RDFN,KODK,RVP,NVAX,IMMP,MGI,CGC,SOL,AHT,JKS,IPOB,PIC,GLNG,GRNQ,RAD,AESE,SLCA,ARPO,OCX,OSTK,MRKR,CHWY,CNET,FAMI,BEST,UNFI,SPWR,BTG,CNK,GRWG,ADXS,UAVS,GME,VTVT,MIND,INSG,TMBR,SOLO,NAOV,IZEA,SNOW,ARVN,ABUS,MIK,VUZI,IPOC,NVIV,HTBX,CIDM,OGI,QS,ATUS,PBF,TRCH,AG,VLDR,ISR,SAVE,HAPP,XNET,DPW,DS,TRXC,ACRS,BCDA,BTBT,RIDE,LI,FUBO,DTEA,NNDM,TLGT,NPA,BLRX,EQOS,ATOS,BLNK,JMIA,ABEV,HEXO,XPEV,PHUN,NVCN,JAGX,SIOX,VERU,RIOT,IQ,WISH,MARA,AEMD,TLRY,NXTD
2020-12-17,FSM,MREO,COUP,OGI,ATUS,SLDB,TLMD,ZS,OSTK,PRTY,CTRM,REAL,AYRO,BXRX,TRCH,ZYNE,SPWR,GHSI,INSG,INPX,KNDI,BTBT,SFIX,NVAX,PRFX,WWR,TRXC,PBF,SAVE,APPS,CNK,TMBR,IPOB,AQB,ZKIN,IMMP,GAN,VTGN,ONCT,XELA,VUZI,RDFN,DPW,EOLS,WPRT,BTG,UUUU,BOXL,FAMI,HCAC,VLDR,UAVS,IZEA,CIDM,IPOC,ABUS,GME,AG,CHWY,JUPW,TLGT,SIOX,DS,ELOX,KODK,BCDA,FSLY,EQOS,RIDE,CNSP,ATXI,AUPH,JMIA,VERU,HEXO,QS,AIKI,LI,ABEV,BLNK,FUBO,SOLO,TKAT,XPEV,TRIT,ATOS,YGMZ,TLRY,WISH,LKNCY,NNDM,JAGX,RIOT,RAD,IQ,PHUN,SNCA,XSPA,MARA,NXTD
